countries,primary_energy_consumption
Afghanistan,27.13513
Albania,40.252644
Algeria,707.6273
American Samoa,1.5961853
Angola,96.311485
Antarctica,0.048968244
Antigua and Barbuda,2.7469301
Argentina,958.46265
Armenia,49.357056
Aruba,4.9106016
Australia,1589.0751
Austria,406.03314
Azerbaijan,197.54944
Bahamas,14.459775
Bahrain,235.74854
Bangladesh,492.38055
Barbados,6.475003
Belarus,306.05542
Belgium,738.3453
Belize,2.9753036
Benin,32.294933
Bermuda,2.9852767
Bhutan,21.603115
Bolivia,85.30703
Bosnia and Herzegovina,75.275955
Botswana,24.29339
Brazil,3570.6697
British Virgin Islands,0.6327558
Brunei,45.993755
Bulgaria,221.89557
Burkina Faso,19.995071
Burundi,3.6886592
Cambodia,66.93809
Cameroon,43.344273
Canada,3866.976
Cape Verde,4.2622404
Cayman Islands,3.0102742
Central African Republic,1.561469
Chad,6.2046566
Chile,476.857
China,43847.004
Colombia,574.74524
Comoros,1.342369
Congo,13.7025585
Cook Islands,0.4928464
Costa Rica,61.628967
Cote d'Ivoire,65.13984
Croatia,98.31208
Cuba,103.89113
Cyprus,29.841984
Czechia,466.40598
Democratic Republic of Congo,39.40167
Denmark,189.43509
Djibouti,3.0790696
Dominica,0.76402795
Dominican Republic,111.04068
East Timor,2.1339822
Ecuador,212.59688
Egypt,1058.7433
El Salvador,44.681767
Equatorial Guinea,20.266384
Eritrea,3.3107688
Estonia,61.401203
Eswatini,7.131119
Ethiopia,104.836815
Falkland Islands,0.1870031
Faroe Islands,3.7546556
Fiji,8.527583
Finland,320.63977
France,2593.6248
French Guiana,0
French Polynesia,4.6342387
Gabon,18.752058
Gambia,2.458489
Georgia,78.29672
Germany,3544.581
Ghana,114.36937
Greece,302.5362
Greenland,3.5740314
Grenada,1.1754613
Guadeloupe,0
Guam,7.535627
Guatemala,100.58174
Guinea,17.34148
Guinea-Bissau,1.3957903
Guyana,11.014605
Haiti,11.801085
Honduras,52.285263
Hong Kong,243.6041
Hungary,283.95834
Iceland,60.644577
India,9585.078
Indonesia,2214.0532
Iran,3322.0579
Iraq,592.7278
Ireland,179.446
Israel,292.04428
Italy,1768.6172
Jamaica,34.59914
Japan,5037.4814
Jordan,102.37639
Kazakhstan,822.2053
Kenya,103.50374
Kiribati,0.31533784
Kosovo,27.883156
Kuwait,424.15015
Kyrgyzstan,60.542263
Laos,139.94064
Latvia,42.6252
Lebanon,105.31844
Lesotho,4.8659377
Liberia,5.528998
Libya,190.40862
Lithuania,70.14949
Luxembourg,43.215237
Macao,14.693284
Madagascar,14.678847
Malawi,9.248383
Malaysia,1246.6495
Maldives,9.214026
Mali,25.59745
Malta,39.150482
Martinique,8.987336
Mauritania,18.407001
Mauritius,25.62087
Mexico,2175.8943
Micronesia (country),0.7226543
Moldova,49.003654
Mongolia,75.01601
Montenegro,11.891775
Montserrat,0.1224197
Morocco,269.05447
Mozambique,71.891975
Myanmar,164.88298
Namibia,22.134443
Nauru,0.27083334
Nepal,48.285286
Netherlands,1014.6149
Netherlands Antilles,50.215538
New Caledonia,20.146666
New Zealand,235.5494
Nicaragua,29.219433
Niger,10.34748
Nigeria,543.7368
Niue,0.031548053
North Korea,99.5751
North Macedonia,28.997852
Northern Mariana Islands,0
Norway,568.4789
Oman,393.38873
Pakistan,1083.7913
Palestine,20.529442
Panama,117.77596
Papua New Guinea,21.12761
Paraguay,105.80124
Peru,327.408
Philippines,545.51025
Poland,1224.7583
Portugal,266.48996
Puerto Rico,78.72069
Qatar,541.8489
Reunion,0
Romania,390.003
Russia,8335.356
Rwanda,6.3453274
Saint Helena,0.05416876
Saint Kitts and Nevis,0.9955214
Saint Lucia,2.4433672
Saint Pierre and Miquelon,0.3447809
Saint Vincent and the Grenadines,0.8603289
Samoa,1.5975583
Sao Tome and Principe,0.7385749
Saudi Arabia,2981.9167
Senegal,42.279724
Serbia,201.68896
Seychelles,4.891292
Sierra Leone,4.1479893
Singapore,910.7139
Slovakia,195.22316
Slovenia,76.58192
Solomon Islands,1.3393546
Somalia,3.7102253
South Africa,1406.0925
South Korea,3506.508
South Sudan,7.8676186
Spain,1530.2695
Sri Lanka,109.63753
Sudan,105.80567
Suriname,12.43448
Sweden,633.67957
Switzerland,298.0824
Syria,117.437904
Taiwan,1372.9414
Tajikistan,74.83101
Tanzania,57.700302
Thailand,1386.81
Togo,9.645073
Tonga,0.7102787
Trinidad and Tobago,173.1243
Tunisia,116.7936
Turkey,1951.1511
Turkmenistan,443.09784
Turks and Caicos Islands,0.88545346
Tuvalu,0
Uganda,35.162792
Ukraine,934.7169
United Arab Emirates,1246.315
United Kingdom,1990.9581
United States,25956.828
United States Virgin Islands,9.807009
Uruguay,62.75864
Uzbekistan,565.7743
Vanuatu,0.94385636
Venezuela,604.086
Vietnam,1208.5538
Western Sahara,1.0960758
World,165729.03
Yemen,35.62147
Zambia,66.57597
Zimbabwe,42.145393
